Date,VXc1,VXc2,VXc3
2026-07-24,19.231,19.9851,20.7883
2026-07-27,19.1398,19.8291,20.6021
2026-07-28,18.9983,19.7005,20.5002
2026-07-29,20.3094,20.5776,21.0619
2026-07-30,18.7716,19.6787,20.5997
2026-07-31,18.1046,19.2499,20.3049
2026-08-03,17.9466,19.1787,20.2239
2026-08-04,18.0473,19.2542,20.2544
2026-08-05,17.4302,18.7083,19.8928
2026-08-06,17.0952,18.5409,19.7871
2026-08-07,16.9913,18.6639,19.9989
2026-08-10,16.9577,18.5975,19.9441
2026-08-11,16.7881,18.4293,19.8004
2026-08-12,16.0226,17.9686,19.499
2026-08-13,16.001,18.1145,19.5984
2026-08-14,15.5594,17.9201,19.575
2026-08-17,15.6125,18.0529,19.7501
2026-08-18,15.8653,18.1906,19.7247
2026-08-19,15.29,17.6066,19.3886
2026-08-20,17.8009,19.4505,20.1489
2026-08-21,17.5022,19.1499,19.8788
2026-08-24,17.589,19.1282,19.8492
2026-08-25,17.2042,18.9246,19.6957
2026-08-26,17.1549,18.8535,19.5991
2026-08-27,16.6614,18.5279,19.3117
2026-08-28,16.9353,18.7002,19.3599
